game_date,home_team,away_team,book,p_home_win,home_ml,away_ml,has_edge,bet_side,bet_edge_pct,bet_odds,home_won,result_correct,pnl_per_unit
2024-05-21,ATL,DAL,unibet_uk,0.3974,-235.0,188.0,True,DAL,27.15,188.0,1,0.0,-1.0
2024-05-26,ATL,MIN,unibet_uk,0.3745,-165.0,135.0,True,MIN,21.96,135.0,0,1.0,1.35
2024-06-02,ATL,CON,unibet_uk,0.4212,117.0,-143.0,False,,,,0,,
2024-06-06,ATL,NYL,unibet_uk,0.2931,205.0,-265.0,False,,,,0,,
2024-06-11,ATL,WAS,unibet_uk,0.6317,-286.0,225.0,False,,,,0,,
2024-06-16,ATL,LA,unibet_uk,0.5994,-225.0,180.0,False,,,,1,,
2024-06-21,ATL,IND,unibet_uk,0.585,133.0,-162.0,True,ATL,17.52,133.0,0,0.0,-1.0
2024-06-23,ATL,NYL,unibet_uk,0.3259,400.0,-560.0,False,,,,0,,
2024-07-02,ATL,CHI,unibet_uk,0.5175,100.0,-122.0,False,,,,0,,
2024-08-16,ATL,SEA,unibet_uk,0.1188,255.0,-335.0,False,,,,1,,
2024-08-18,ATL,CON,unibet_uk,0.1298,290.0,-385.0,False,,,,1,,
2024-08-21,ATL,PHO,unibet_uk,0.4869,120.0,-148.0,False,,,,1,,
2024-08-23,ATL,PHO,unibet_uk,0.5628,106.0,-129.0,False,,,,0,,
2024-08-26,ATL,IND,unibet_uk,0.3652,107.0,-130.0,False,,,,0,,
2024-09-06,ATL,DAL,unibet_uk,0.5159,-152.0,125.0,False,,,,1,,
2024-09-10,ATL,MIN,unibet_uk,0.2343,190.0,-235.0,False,,,,0,,
2024-09-13,ATL,WAS,unibet_uk,0.3665,-162.0,132.0,True,WAS,22.27,132.0,0,1.0,1.32
2024-09-17,ATL,CHI,unibet_uk,0.6323,-560.0,400.0,False,,,,1,,
2024-05-25,CHI,CON,unibet_uk,0.5695,185.0,-230.0,True,CHI,23.46,185.0,0,0.0,-1.0
