game_date,home_team,away_team,model_prob_home,moneyline_home,moneyline_away,has_edge,bet_side,bet_edge_pct,bet_odds,kelly_frac,expected_value,home_won,result_correct,pnl_per_unit
2022-05-29,ATL,PHO,0.7721,-105.0,-115.0,False,,,,0.0,,1,,
2022-06-01,ATL,MIN,0.7467,-189.0,152.0,False,,,,0.0,,1,,
2022-06-03,ATL,CHI,0.2989,128.0,-159.0,False,,,,0.0,,0,,
2022-06-05,ATL,IND,0.7932,-294.0,210.0,False,,,,0.0,,1,,
2022-06-21,ATL,DAL,0.7292,185.0,-213.0,False,,,,0.0,,1,,
2022-06-24,ATL,NYL,0.2027,-130.0,106.0,False,,,,0.0,,0,,
2022-06-26,ATL,CON,0.1872,285.0,-370.0,False,,,,0.0,,0,,
2022-07-03,ATL,SEA,0.6871,190.0,-227.0,False,,,,0.0,,1,,
2022-07-06,ATL,WAS,0.2643,175.0,-204.0,False,,,,0.0,,0,,
2022-07-15,ATL,CON,0.2231,285.0,-370.0,False,,,,0.0,,0,,
2022-07-28,ATL,MIN,0.1691,-130.0,110.0,False,,,,0.0,,0,,
2022-07-30,ATL,DAL,0.2183,-110.0,-110.0,True,DAL,28.17,-110.0,3.0,0.4924,0,1.0,0.9091
2022-08-03,ATL,IND,0.7991,-370.0,300.0,False,,,,0.0,,1,,
2022-08-05,ATL,LA,0.6968,-179.0,155.0,False,,,,0.0,,1,,
2022-08-12,ATL,NYL,0.3369,110.0,-130.0,False,,,,0.0,,0,,
2022-05-24,CHI,IND,0.8853,-1250.0,710.0,False,,,,0.0,,1,,
2022-05-28,CHI,LA,0.3057,118.0,-145.0,False,,,,0.0,,0,,
2022-05-31,CHI,PHO,0.7779,-345.0,275.0,False,,,,0.0,,1,,
2022-06-05,CHI,WAS,0.7152,-385.0,290.0,False,,,,0.0,,1,,
2022-06-17,CHI,ATL,0.8048,-294.0,215.0,False,,,,0.0,,1,,
2022-06-26,CHI,MIN,0.7949,-250.0,210.0,False,,,,0.0,,1,,
2022-06-29,CHI,CON,0.7788,-169.0,138.0,False,,,,0.0,,1,,
2022-07-02,CHI,PHO,0.7793,-455.0,360.0,False,,,,0.0,,1,,
2022-07-12,CHI,ATL,0.8649,-435.0,350.0,False,,,,0.0,,1,,
2022-07-20,CHI,SEA,0.7737,-145.0,125.0,False,,,,0.0,,1,,
2022-07-22,CHI,DAL,0.7715,-294.0,245.0,False,,,,0.0,,1,,
2022-07-29,CHI,NYL,0.8681,-526.0,420.0,False,,,,0.0,,1,,
2022-08-02,CHI,DAL,0.4307,-294.0,245.0,True,DAL,28.96,245.0,3.0,0.9642,0,1.0,2.45
2022-08-05,CHI,WAS,0.6519,-238.0,200.0,False,,,,0.0,,1,,
2022-08-07,CHI,CON,0.7015,-161.0,132.0,False,,,,0.0,,1,,
2022-08-09,CHI,SEA,0.4125,-200.0,170.0,True,SEA,23.03,170.0,3.0,0.5862,0,1.0,1.7
2022-05-24,CON,DAL,0.5246,-435.0,320.0,True,DAL,24.89,320.0,3.0,0.9965,0,1.0,3.2
2022-05-26,CON,DAL,0.7283,-357.0,270.0,False,,,,0.0,,1,,
2022-05-28,CON,WAS,0.8194,-556.0,390.0,False,,,,0.0,,1,,
